"time	away	score	home"
"10:06	Bryan Smith missed Three Point Jumper.	44-57	 "
"10:06	Antwoine Anderson Offensive Rebound.	44-57	 "
"10:02	 	44-57	Foul on Oskar Michelsen."
"10:02	Antwoine Anderson made Free Throw.	45-57	 "
"10:02	Antwoine Anderson made Free Throw.	46-57	 "
"9:33	Foul on Antwoine Anderson.	46-57	 "
"9:08	 	46-57	Jack Gibbs Turnover."
"9:07	Eric Paschall Steal.	46-57	 "
"9:03	Mandell Thomas Turnover.	46-57	 "
"9:03	 	46-57	Tyler Kalinoski Steal."
"8:58	 	46-57	Brian Sullivan missed Three Point Jumper."
"8:58	Eric Paschall Defensive Rebound.	46-57	 "
"8:49	Eric Paschall Turnover.	46-57	 "
"8:48	 	46-57	Jordan Barham Steal."
"8:45	 	46-59	Jordan Barham made Layup."
"8:25	Mandell Thomas missed Layup.	46-59	 "
"8:25	 	46-59	Jordan Barham Defensive Rebound."
"8:18	 	46-59	Jordan Barham missed Layup."
"8:18	Bryan Smith Block.	46-59	 "
"8:16	 	46-59	Davidson Offensive Rebound."
"8:08	 	46-61	Tyler Kalinoski made Jumper."
"7:50	Antwoine Anderson missed Jumper.	46-61	 "
"7:50	 	46-61	Oskar Michelsen Defensive Rebound."
"7:27	 	46-61	Jordan Barham missed Layup."
"7:27	Bryan Smith Defensive Rebound.	46-61	 "
"7:13	Eric Paschall missed Three Point Jumper.	46-61	 "
"7:13	Nemanja Zarkovic Offensive Rebound.	46-61	 "
"6:54	Christian Sengfelder missed Layup.	46-61	 "
"6:54	 	46-61	Peyton Aldridge Block."
"6:52	 	46-61	Tyler Kalinoski Defensive Rebound."
"6:43	 	46-64	Oskar Michelsen made Three Point Jumper. Assisted by Tyler Kalinoski."
"6:19	Eric Paschall Turnover.	46-64	 "
"6:17	 	46-64	Oskar Michelsen Steal."
"6:10	 	46-64	Tyler Kalinoski missed Three Point Jumper."
"6:10	 	46-64	Oskar Michelsen Offensive Rebound."
"6:00	 	46-64	Oskar Michelsen missed Three Point Jumper."
"6:00	Eric Paschall Defensive Rebound.	46-64	 "
"5:39	Christian Sengfelder made Layup. Assisted by Antwoine Anderson.	48-64	 "
"5:32	Davidson  Timeout	Davidson  Timeout	Davidson  Timeout"
"5:11	 	48-67	Oskar Michelsen made Three Point Jumper. Assisted by Brian Sullivan."
"4:54	Bryan Smith missed Three Point Jumper.	48-67	 "
"4:54	 	48-67	Oskar Michelsen Defensive Rebound."
"4:46	 	48-69	Brian Sullivan made Layup. Assisted by Jack Gibbs."
"4:43	Fordham  Timeout	Fordham  Timeout	Fordham  Timeout"
"4:26	Antwoine Anderson missed Layup.	48-69	 "
"4:26	 	48-69	Tyler Kalinoski Defensive Rebound."
"4:14	 	48-72	Tyler Kalinoski made Three Point Jumper. Assisted by Brian Sullivan."
"3:49	Bryan Smith missed Layup.	48-72	 "
"3:49	 	48-72	Peyton Aldridge Block."
"3:48	 	48-72	Brian Sullivan Defensive Rebound."
"3:40	Davidson  Timeout	Davidson  Timeout	Davidson  Timeout"
"3:39	 	48-72	Jack Gibbs missed Three Point Jumper."
"3:39	 	48-72	Tyler Kalinoski Offensive Rebound."
"3:36	Davidson  Timeout	Davidson  Timeout	Davidson  Timeout"
"3:34	 	48-72	Jack Gibbs Turnover."
"3:34	Bryan Smith Steal.	48-72	 "
"3:32	 	48-72	Foul on Brian Sullivan."
"3:32	Bryan Smith made Free Throw.	49-72	 "
"3:32	Bryan Smith made Free Throw.	50-72	 "
"3:04	 	50-74	Jack Gibbs made Layup."
"2:47	Nemanja Zarkovic made Jumper. Assisted by Mandell Thomas.	52-74	 "
"2:29	Foul on Christian Sengfelder.	52-74	 "
"2:04	 	52-74	Oskar Michelsen missed Three Point Jumper."
"2:04	Christian Sengfelder Defensive Rebound.	52-74	 "
"1:49	 	52-74	Foul on Brian Sullivan."
"1:49	Bryan Smith made Free Throw.	53-74	 "
"1:49	Bryan Smith made Free Throw.	54-74	 "
"1:25	 	54-76	Oskar Michelsen made Layup. Assisted by Ali Mackay."
"0:54	Bryan Smith made Three Point Jumper. Assisted by Zaire Thompson.	57-76	 "
"0:34	 	57-76	Ali Mackay Turnover."
"0:19	Nemanja Zarkovic missed Three Point Jumper.	57-76	 "
"0:19	Zaire Thompson Offensive Rebound.	57-76	 "
"0:13	Zaire Thompson Turnover.	57-76	 "
"0:13	Foul on Zaire Thompson.	57-76	 "
"0:00	End of Game	End of Game	End of Game"
