time	away	score	home
14:10	Montrezl Harrell missed Jumper.	43-40	 
14:10	 	43-40	Michael Gbinije Defensive Rebound.
13:59	 	43-40	Rakeem Christmas missed Jumper.
13:59	Anas Mahmoud Defensive Rebound.	43-40	 
13:52	Terry Rozier Turnover.	43-40	 
13:52	 	43-40	Rakeem Christmas Steal.
13:38	 	43-40	Trevor Cooney missed Three Point Jumper.
13:38	Montrezl Harrell Defensive Rebound.	43-40	 
13:31	Louisville  Timeout	Louisville  Timeout	Louisville  Timeout
13:16	Anas Mahmoud Turnover.	43-40	 
13:16	 	43-40	Rakeem Christmas Steal.
13:06	 	43-42	Rakeem Christmas made Jumper. Assisted by Kaleb Joseph.
12:32	 	43-42	Foul on Tyler Roberson.
12:32	Montrezl Harrell missed Free Throw.	43-42	 
12:32	Louisville Deadball Team Rebound.	43-42	 
12:32	Montrezl Harrell missed Free Throw.	43-42	 
12:32	 	43-42	Rakeem Christmas Defensive Rebound.
12:20	Foul on Quentin Snider.	43-42	 
12:18	 	43-42	Rakeem Christmas Turnover.
12:03	Chinanu Onuaku missed Layup.	43-42	 
12:03	 	43-42	Rakeem Christmas Block.
12:03	 	43-42	Trevor Cooney Defensive Rebound.
11:57	 	43-42	Trevor Cooney missed Layup.
11:57	Chinanu Onuaku Defensive Rebound.	43-42	 
11:52	Terry Rozier missed Three Point Jumper.	43-42	 
11:52	 	43-42	Rakeem Christmas Defensive Rebound.
11:38	Foul on Montrezl Harrell.	43-42	 
11:38	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:38	 	43-43	Rakeem Christmas made Free Throw.
11:38	 	43-44	Rakeem Christmas made Free Throw.
11:27	 	43-44	Foul on Trevor Cooney.
11:06	 	43-44	Foul on Rakeem Christmas.
11:06	Terry Rozier made Free Throw.	44-44	 
11:06	Terry Rozier made Free Throw.	45-44	 
10:49	 	45-44	Kaleb Joseph missed Jumper.
10:49	Chinanu Onuaku Defensive Rebound.	45-44	 
10:36	Quentin Snider missed Three Point Jumper.	45-44	 
10:36	David Levitch Offensive Rebound.	45-44	 
10:20	Quentin Snider made Jumper.	47-44	 
9:51	 	47-46	Kaleb Joseph made Jumper.
9:17	Terry Rozier missed Layup.	47-46	 
9:17	 	47-46	Rakeem Christmas Block.
9:17	Louisville Offensive Rebound.	47-46	 
9:13	Chinanu Onuaku missed Jumper.	47-46	 
9:13	 	47-46	Rakeem Christmas Defensive Rebound.
9:06	Foul on Quentin Snider.	47-46	 
9:03	 	47-48	Rakeem Christmas made Jumper.
9:03	Foul on Chinanu Onuaku.	47-48	 
9:03	 	47-49	Rakeem Christmas made Free Throw.
