"time	away	score	home"
"15:20	 	47-54	Dion Wright made Layup. Assisted by Marcus Posley."
"15:04	Micah Mason missed Jumper.	47-54	 "
"15:04	 	47-54	Idris Taqqee Defensive Rebound."
"14:55	Foul on Jeremiah Jones.	47-54	 "
"14:55	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout"
"14:55	 	47-55	Dion Wright made Free Throw."
"14:55	 	47-56	Dion Wright made Free Throw."
"14:38	Dominique McKoy made Layup. Assisted by Micah Mason.	49-56	 "
"14:38	 	49-56	Foul on Denzel Gregg."
"14:38	Dominique McKoy made Free Throw.	50-56	 "
"14:12	 	50-56	Idris Taqqee missed Jumper."
"14:12	Jeremiah Jones Defensive Rebound.	50-56	 "
"14:00	Derrick Colter missed Jumper.	50-56	 "
"14:00	 	50-56	Marcus Posley Defensive Rebound."
"13:45	 	50-56	Dion Wright Turnover."
"13:14	Darius Lewis Turnover.	50-56	 "
"13:14	Foul on Darius Lewis.	50-56	 "
"12:58	 	50-58	Marcus Posley made Jumper."
"12:41	 	50-58	Foul on Denzel Gregg."
"12:38	Micah Mason missed Layup.	50-58	 "
"12:38	L.G. Gill Offensive Rebound.	50-58	 "
"12:32	L.G. Gill made Two Point Tip Shot.	52-58	 "
"12:16	Foul on Derrick Colter.	52-58	 "
"12:02	Foul on Dominique McKoy.	52-58	 "
"12:02	 	52-59	Andell Cumberbatch made Free Throw."
"12:02	 	52-60	Andell Cumberbatch made Free Throw."
"11:54	 	52-60	Foul on Andell Cumberbatch."
"11:54	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout"
"11:42	Dominique McKoy missed Jumper.	52-60	 "
"11:42	 	52-60	Dion Wright Defensive Rebound."
"11:27	 	52-62	Dion Wright made Layup. Assisted by Andell Cumberbatch."
"11:06	L.G. Gill missed Jumper.	52-62	 "
"11:06	 	52-62	Youssou Ndoye Block."
"11:02	L.G. Gill Offensive Rebound.	52-62	 "
"10:59	Jeremiah Jones missed Three Point Jumper.	52-62	 "
"10:59	L.G. Gill Offensive Rebound.	52-62	 "
"10:44	Micah Mason made Three Point Jumper. Assisted by Dominique McKoy.	55-62	 "
"10:27	 	55-65	Andell Cumberbatch made Three Point Jumper. Assisted by Dion Wright."
"10:13	L.G. Gill missed Three Point Jumper.	55-65	 "
"10:13	Dominique McKoy Offensive Rebound.	55-65	 "
"10:08	Dominique McKoy missed Layup.	55-65	 "
"10:08	 	55-65	Youssou Ndoye Block."
"10:06	 	55-65	Youssou Ndoye Defensive Rebound."
"9:46	 	55-65	Marcus Posley missed Three Point Jumper."
"9:46	 	55-65	Youssou Ndoye Offensive Rebound."
"9:43	Foul on L.G. Gill.	55-65	 "
"9:42	 	55-65	Dion Wright missed Jumper."
"9:42	Jeremiah Jones Defensive Rebound.	55-65	 "
"9:38	 	55-65	Foul on Idris Taqqee."
"9:38	Jeremiah Jones made Free Throw.	56-65	 "
"9:38	Jeremiah Jones missed Free Throw.	56-65	 "
"9:38	 	56-65	Youssou Ndoye Defensive Rebound."
"9:09	Foul on L.G. Gill.	56-65	 "
"9:09	 	56-66	Marcus Posley made Free Throw."
"9:09	 	56-67	Marcus Posley made Free Throw."
"8:52	Jordan Robinson made Layup. Assisted by Derrick Colter.	58-67	 "
"8:36	 	58-67	Marcus Posley missed Jumper."
"8:36	 	58-67	Youssou Ndoye Offensive Rebound."
"8:30	 	58-67	Andell Cumberbatch missed Three Point Jumper."
"8:30	Dominique McKoy Defensive Rebound.	58-67	 "
"8:28	 	58-67	Foul on Youssou Ndoye."
"8:28	Dominique McKoy missed Free Throw.	58-67	 "
"8:28	 	58-67	Chris Dees Defensive Rebound."
"8:04	 	58-67	Dion Wright missed Jumper."
"8:04	Jordan Robinson Defensive Rebound.	58-67	 "
"7:48	Micah Mason missed Three Point Jumper.	58-67	 "
"7:48	 	58-67	Chris Dees Defensive Rebound."
"7:42	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout"
"7:14	 	58-67	Idris Taqqee missed Three Point Jumper."
"7:14	 	58-67	Dion Wright Offensive Rebound."
"7:09	 	58-69	Dion Wright made Jumper."
"7:00	 	58-69	Foul on Dion Wright."
"7:00	Derrick Colter made Free Throw.	59-69	 "
"7:00	Derrick Colter made Free Throw.	60-69	 "
"6:28	 	60-69	Andell Cumberbatch missed Three Point Jumper."
"6:28	 	60-69	Idris Taqqee Offensive Rebound."
"6:25	Foul on Darius Lewis.	60-69	 "
"6:25	 	60-69	Idris Taqqee missed Free Throw."
"6:25	Micah Mason Defensive Rebound.	60-69	 "
"6:16	Derrick Colter missed Jumper.	60-69	 "
"6:16	 	60-69	Chris Dees Defensive Rebound."
"6:09	 	60-69	Andell Cumberbatch Turnover."
"5:54	Jordan Robinson missed Jumper.	60-69	 "
"5:54	 	60-69	Dion Wright Defensive Rebound."
"5:34	 	60-72	Marcus Posley made Three Point Jumper."
"5:12	 	60-72	Foul on Andell Cumberbatch."
"5:12	Derrick Colter made Free Throw.	61-72	 "
"5:12	Derrick Colter made Free Throw.	62-72	 "
"4:54	Foul on Jeremiah Jones.	62-72	 "
"4:54	 	62-73	Dion Wright made Free Throw."
"4:54	 	62-74	Dion Wright made Free Throw."
"4:40	Derrick Colter made Jumper.	64-74	 "
"4:38	Duquesne  Timeout	Duquesne  Timeout	Duquesne  Timeout"
"4:20	 	64-74	Idris Taqqee missed Layup."
"4:18	 	64-74	St. Bonaventure Offensive Rebound."
"3:53	 	64-74	Dion Wright missed Jumper."
"3:53	Dominique McKoy Defensive Rebound.	64-74	 "
"3:44	Jeremiah Jones Turnover.	64-74	 "
"3:42	 	64-74	Dion Wright Steal."
"3:40	 	64-76	Andell Cumberbatch made Layup. Assisted by Dion Wright."
"3:39	Duquesne  Timeout	Duquesne  Timeout	Duquesne  Timeout"
"3:30	Derrick Colter made Jumper.	66-76	 "
"3:04	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout"
"3:04	Foul on Darius Lewis.	66-76	 "
"3:04	 	66-76	Youssou Ndoye missed Free Throw."
"3:04	 	66-76	St. Bonaventure Deadball Team Rebound."
"3:04	 	66-77	Youssou Ndoye made Free Throw."
"2:57	Derrick Colter missed Layup.	66-77	 "
"2:57	 	66-77	Idris Taqqee Defensive Rebound."
"2:43	Foul on Micah Mason.	66-77	 "
"2:43	 	66-78	Idris Taqqee made Free Throw."
"2:43	 	66-78	Idris Taqqee missed Free Throw."
"2:43	Jordan Robinson Defensive Rebound.	66-78	 "
"2:28	Jordan Robinson made Layup.	68-78	 "
"2:26	Duquesne  Timeout	Duquesne  Timeout	Duquesne  Timeout"
"2:24	Foul on TySean Powell.	68-78	 "
"2:24	 	68-79	Youssou Ndoye made Free Throw."
"2:24	 	68-79	Youssou Ndoye missed Free Throw."
"2:24	 	68-79	Youssou Ndoye Offensive Rebound."
"2:21	Foul on Dominique McKoy.	68-79	 "
"2:21	 	68-80	Youssou Ndoye made Free Throw."
"2:21	 	68-80	Youssou Ndoye missed Free Throw."
"2:21	TySean Powell Defensive Rebound.	68-80	 "
"2:16	 	68-80	Foul on Idris Taqqee."
"2:16	Jeremiah Jones made Free Throw.	69-80	 "
"2:16	Jeremiah Jones made Free Throw.	70-80	 "
"2:15	Foul on Jeremiah Jones.	70-80	 "
"2:15	 	70-81	Youssou Ndoye made Free Throw."
"2:15	 	70-81	Youssou Ndoye missed Free Throw."
"2:15	TySean Powell Defensive Rebound.	70-81	 "
"2:09	Micah Mason missed Jumper.	70-81	 "
"2:09	 	70-81	Idris Taqqee Defensive Rebound."
"1:57	Foul on Jeremiah Jones.	70-81	 "
"1:57	 	70-82	Marcus Posley made Free Throw."
"1:57	 	70-83	Marcus Posley made Free Throw."
"1:52	Derrick Colter made Layup.	72-83	 "
"1:52	 	72-83	Foul on Youssou Ndoye."
"1:52	Derrick Colter made Free Throw.	73-83	 "
"1:44	Foul on TySean Powell.	73-83	 "
"1:44	 	73-84	Marcus Posley made Free Throw."
"1:44	St. Bonaventure  Timeout	St. Bonaventure  Timeout	St. Bonaventure  Timeout"
"1:44	 	73-85	Marcus Posley made Free Throw."
"1:33	Derrick Colter missed Three Point Jumper.	73-85	 "
"1:33	David Haus Offensive Rebound.	73-85	 "
"1:29	Foul on Dominique McKoy.	73-85	 "
"1:29	 	73-85	Dion Wright missed Free Throw."
"1:29	 	73-85	St. Bonaventure Deadball Team Rebound."
"1:29	 	73-86	Dion Wright made Free Throw."
"1:19	Derrick Colter made Layup.	75-86	 "
"1:18	Duquesne  Timeout	Duquesne  Timeout	Duquesne  Timeout"
"1:17	Foul on Desmond Ridenour.	75-86	 "
"1:17	 	75-87	Marcus Posley made Free Throw."
"1:17	 	75-87	Marcus Posley missed Free Throw."
"1:17	Dominique McKoy Defensive Rebound.	75-87	 "
"1:05	 	75-87	Foul on Idris Taqqee."
"1:05	Desmond Ridenour missed Free Throw.	75-87	 "
"1:05	Duquesne Deadball Team Rebound.	75-87	 "
"1:05	Desmond Ridenour missed Free Throw.	75-87	 "
"1:05	 	75-87	Dion Wright Defensive Rebound."
"1:01	Foul on Eric James.	75-87	 "
"1:01	 	75-87	Dion Wright missed Free Throw."
"1:01	 	75-87	St. Bonaventure Deadball Team Rebound."
"1:01	 	75-87	Dion Wright missed Free Throw."
"1:01	Dominique McKoy Defensive Rebound.	75-87	 "
"0:56	Derrick Colter Turnover.	75-87	 "
"0:56	 	75-87	Idris Taqqee Steal."
"0:56	 	75-88	Idris Taqqee made Free Throw."
"0:56	 	75-88	Idris Taqqee missed Free Throw."
"0:56	Eric James Defensive Rebound.	75-88	 "
"0:47	 	75-88	Opeyemi Olomo missed Three Point Jumper."
"0:47	Derrick Colter Defensive Rebound.	75-88	 "
"0:40	 	75-90	Idris Taqqee made Layup."
"0:35	Desmond Ridenour missed Jumper.	75-90	 "
"0:35	 	75-90	Dion Wright Defensive Rebound."
"0:32	Foul on Desmond Ridenour.	75-90	 "
"0:32	 	75-91	Dion Wright made Free Throw."
"0:32	 	75-92	Dion Wright made Free Throw."
"0:23	Nick Foschia missed Layup.	75-92	 "
"0:23	 	75-92	Chris Dees Defensive Rebound."
"0:19	St. Bonaventure  Timeout	St. Bonaventure  Timeout	St. Bonaventure  Timeout"
"0:13	 	75-92	Opeyemi Olomo missed Three Point Jumper."
"0:13	Desmond Ridenour Defensive Rebound.	75-92	 "
"0:05	Desmond Ridenour missed Layup.	75-92	 "
"0:05	Desmond Ridenour Offensive Rebound.	75-92	 "
"0:00	End of Game	End of Game	End of Game"
"0:00	Foul on Derrick Colter.	75-92	 "
"0:00	End of 2nd half	End of 2nd half	End of 2nd half"
