Date	GameID	HomeTeam	HomeRank	HomeRecord	AwayTeam	AwayRank	AwayRecord
2014-12-06	400587829	Notre Dame		(8-1, 7-0 home)	Fair Dickinson		(3-4, 1-3 away)
2014-12-07	400586717	UNC	(12)	(6-2, 3-1 home)	ECU		(4-5, 0-2 away)
2014-12-07	400587833	VT		(4-4, 3-2 home)	Radford		(5-3, 1-3 away)
2014-12-07	400587832	Clemson		(5-3, 3-2 home)	Arkansas	(18)	(6-2, 1-2 away)
2014-12-08	400587834	Miami (FL)	(20)	(9-1, 4-1 home)	Savannah State		(3-7, 0-7 away)
2014-12-09	400587835	Notre Dame	(25)	(9-1, 8-0 home)	Mt St Mary's		(2-5, 2-4 away)
2014-12-09	400587836	Louisville	(4)	(8-0, 6-0 home)	Indiana		(7-2, 0-0 away)
2014-12-11	400587837	Boston College		(5-3, 4-0 home)	Maine		(1-8, 0-6 away)
2014-12-12	400587838	NC State		(8-1, 1-0 ACC)	Charleston So		(5-3, 1-2 away)
2014-12-13	400587839	Kentucky	(1)	(11-0, 10-0 home)	UNC	(21)	(6-3, 0-1 away)
2014-12-13	400587840	Pitt		(6-3, 3-0 home)	St Bonaventure		(6-2, 1-1 away)
2014-12-13	400587841	Notre Dame	(25)	(10-1, 1-0 ACC)	FSU		(4-5, 0-1 ACC)
2014-12-14	400587845	Boston College		(6-3, 5-0 home)	Binghamton		(1-11, 0-6 away)
2014-12-14	400587848	VT		(5-4, 4-2 home)	Alabama A&M;		(1-6, 0-5 away)
2014-12-14	400587842	Syracuse		(6-3, 5-1 home)	LA Tech		(7-3, 2-3 away)
2014-12-14	400587846	Clemson		(6-3, 4-2 home)	Auburn		(3-5, 0-3 away)
2014-12-14	400587847	NC State		(8-2, 1-0 ACC)	Wofford		(8-2, 2-2 away)
2014-12-14	400587843	Louisville	(4)	(9-0, 7-0 home)	UNC-Wilmington		(3-3, 2-3 away)
2014-12-14	400587844	Wake Forest		(5-5, 0-1 ACC)	Samford		(3-8, 0-2 Southern)
2014-12-15	400587849	Duke	(2)	(9-0, 5-0 home)	Elon		(5-5, 1-3 away)
2014-12-15	400587850	Georgia Tech		(7-2, 4-1 home)	Appalachian St		(3-4, 2-3 away)
