Game_id,Date,HomeTeam,HomeRank,HomeRecord,AwayTeam,AwayRank,AwayRecord
400587070,2014-11-30,Duke,(4),"(7-0, 4-0 home)",Army,,"(5-1, 2-1 away)"
400587808,2014-11-30,VT,,"(4-2, 3-1 home)",Morgan State,,"(1-6, 0-4 away)"
400609015,2014-11-30,Georgia Tech,,"(5-1, 3-0 home)",URI,,"(4-2, 0-0 away)"
400586157,2014-12-01,Boston College,,"(3-3, 2-0 home)",Marist,,"(1-5, 0-2 away)"
400587809,2014-12-01,Clemson,,"(4-3, 2-2 home)",Rutgers,,"(4-3, 1-0 away)"
400587810,2014-12-01,FSU,,"(3-4, 3-2 home)",Nebraska,,"(5-1, 1-1 away)"
400587811,2014-12-02,Indiana,,"(6-1, 6-1 home)",Pitt,,"(4-3, 1-2 away)"
400587812,2014-12-02,Wake Forest,,"(4-4, 3-3 home)",Minnesota,,"(5-2, 1-0 away)"
400587813,2014-12-02,Michigan,(17),"(6-1, 5-0 home)",Syracuse,,"(5-2, 0-1 away)"
400587814,2014-12-02,Miami (FL),(15),"(8-0, 3-0 home)",Illinois,(24),"(6-1, 0-1 away)"
400587815,2014-12-02,Purdue,,"(6-1, 4-0 home)",NC State,,"(6-1, 0-1 away)"
400587816,2014-12-02,Louisville,(5),"(6-0, 5-0 home)",OSU,(14),"(5-1, 0-1 away)"
400587817,2014-12-03,Notre Dame,,"(7-1, 6-0 home)",Michigan State,(19),"(5-3, 1-1 away)"
400587818,2014-12-03,Penn State,,"(7-1, 4-0 home)",VT,,"(4-3, 0-1 away)"
400587819,2014-12-03,UNC,(12),"(5-2, 2-1 home)",Iowa,,"(6-2, 1-0 away)"
400587821,2014-12-03,Maryland,(21),"(7-1, 5-1 home)",UVA,(7),"(8-0, 2-0 away)"
400587820,2014-12-03,Northwestern,,"(5-2, 3-1 home)",Georgia Tech,,"(6-1, 1-0 away)"
400587822,2014-12-03,Wisconsin,(2),"(7-1, 4-1 home)",Duke,(4),"(8-0, 1-0 away)"
400587824,2014-12-05,Louisville,(5),"(7-0, 6-0 home)",FIU,,"(5-4, 1-3 away)"
400587823,2014-12-05,Boston College,,"(4-3, 3-0 home)",Providence,,"(6-2, 0-2 away)"
400587825,2014-12-05,Pitt,,"(5-3, 2-0 home)",Duquesne,,"(3-2, 1-0 away)"
