,Game_id,Date,HomeTeam,HomeRank,AwayTeam,AwayRank,Wins_Home,Losses_Home,Win Percent,Wins_Visitor,Losses_Visitor,Visitor Win Percentage
1367,400588374,12/16/14,Marquette,NR,Arizona State,NR,5,4,[0.5555555555555556],6,4,[0.6]
1371,400588375,12/18/14,Oregon State,NR,DePaul,NR,8,2,[0.8],6,4,[0.6]
1810,400588376,12/19/14,Marquette,NR,Alabama A&M,NR,6,4,[0.6],1,7,[0.125]
1811,400588378,12/20/14,Georgetown,NR,Charlotte,NR,7,3,[0.7],6,5,[0.5454545454545454]
1100,400588379,12/20/14,Providence,NR,UMass,NR,9,3,[0.75],6,5,[0.5454545454545454]
536,400588380,12/20/14,Butler,23,Indiana,NR,8,3,[0.7272727272727273],9,2,[0.8181818181818182]
819,400588381,12/20/14,Auburn,NR,Xavier,NR,5,5,[0.5],8,3,[0.7272727272727273]
823,400588382,12/21/14,Georgia,NR,Seton Hall,NR,6,3,[0.6666666666666666],9,2,[0.8181818181818182]
1816,400588383,12/21/14,North Texas,NR,Creighton,NR,6,4,[0.6],9,4,[0.6923076923076923]
1382,400588384,12/22/14,Colorado,NR,DePaul,NR,7,3,[0.7],6,5,[0.5454545454545454]
1819,400588385,12/22/14,Butler,NR,UT Martin,NR,9,3,[0.75],7,4,[0.6363636363636364]
1820,400588386,12/22/14,St John's,17,LBSU,NR,10,1,[0.9090909090909091],5,8,[0.38461538461538464]
1824,400588387,12/23/14,Villanova,7,NJIT,NR,12,0,[1.0],5,8,[0.38461538461538464]
555,400588388,12/27/14,Indiana,NR,Georgetown,NR,10,3,[0.7692307692307693],8,3,[0.7272727272727273]
1827,400588389,12/27/14,Seton Hall,NR,Maine,NR,10,2,[0.8333333333333334],1,10,[0.09090909090909091]
1828,400588390,12/28/14,St John's,17,Tulane,NR,11,1,[0.9166666666666666],9,3,[0.75]
1829,400588391,12/28/14,Marquette,NR,Morgan State,NR,8,4,[0.6666666666666666],2,11,[0.15384615384615385]
1830,400588392,12/28/14,Xavier,NR,FGCU,NR,9,3,[0.75],9,4,[0.6923076923076923]
1831,400588393,12/28/14,Butler,NR,Belmont,NR,10,3,[0.7692307692307693],8,5,[0.6153846153846154]
1832,400588394,12/31/14,Seton Hall,NR,St John's,15,11,2,[0.8461538461538461],11,2,[0.8461538461538461]
1833,400588395,12/31/14,Villanova,6,Butler,NR,13,0,[1.0],10,4,[0.7142857142857143]
1834,400588396,12/31/14,DePaul,NR,Marquette,NR,7,7,[0.5],8,5,[0.6153846153846154]
1835,400588397,12/31/14,Providence,NR,Creighton,NR,11,3,[0.7857142857142857],9,5,[0.6428571428571429]
1836,400588398,12/31/14,Xavier,NR,Georgetown,25,10,3,[0.7692307692307693],8,4,[0.6666666666666666]
1837,400588399,1/3/15,Seton Hall,NR,Villanova,6,12,2,[0.8571428571428571],13,1,[0.9285714285714286]
1838,400588400,1/3/15,Marquette,NR,Providence,NR,9,5,[0.6428571428571429],11,4,[0.7333333333333333]
1839,400588401,1/3/15,DePaul,NR,Xavier,NR,8,7,[0.5333333333333333],10,4,[0.7142857142857143]
1841,400588402,1/3/15,Georgetown,25,Creighton,NR,9,4,[0.6923076923076923],9,6,[0.6]
1840,400588403,1/3/15,St John's,15,Butler,NR,11,3,[0.7857142857142857],11,4,[0.7333333333333333]
1842,400588404,1/6/15,Georgetown,NR,Marquette,NR,10,4,[0.7142857142857143],9,6,[0.6]
1844,400588405,1/6/15,Butler,NR,Providence,NR,11,5,[0.6875],12,4,[0.75]
1843,400588406,1/6/15,St John's,24,Villanova,8,11,4,[0.7333333333333333],14,1,[0.9333333333333333]
1846,400588407,1/7/15,Creighton,NR,DePaul,NR,9,7,[0.5625],9,7,[0.5625]
1845,400588408,1/7/15,Xavier,NR,Seton Hall,19,11,4,[0.7333333333333333],12,3,[0.8]
1847,400588409,1/10/15,Providence,NR,Georgetown,NR,13,4,[0.7647058823529411],10,5,[0.6666666666666666]
1848,400588410,1/10/15,Creighton,NR,Seton Hall,19,9,8,[0.5294117647058824],13,3,[0.8125]
1849,400588412,1/10/15,Villanova,8,DePaul,NR,15,1,[0.9375],9,8,[0.5294117647058824]
1850,400588413,1/13/15,Seton Hall,21,Butler,NR,13,4,[0.7647058823529411],13,5,[0.7222222222222222]
1851,400588414,1/13/15,DePaul,NR,Georgetown,NR,9,9,[0.5],11,5,[0.6875]
1852,400588415,1/14/15,Providence,NR,St John's,NR,13,5,[0.7222222222222222],12,4,[0.75]
1854,400588416,1/14/15,Marquette,NR,Creighton,NR,10,6,[0.625],9,9,[0.5]
1853,400588417,1/14/15,Villanova,5,Xavier,NR,16,1,[0.9411764705882353],11,6,[0.6470588235294118]
1855,400588418,1/17/15,Xavier,NR,Marquette,NR,12,6,[0.6666666666666666],10,7,[0.5882352941176471]
1856,400588419,1/17/15,Georgetown,NR,Butler,NR,12,5,[0.7058823529411765],13,6,[0.6842105263157895]
1858,400588420,1/17/15,Creighton,NR,Providence,NR,9,10,[0.47368421052631576],14,5,[0.7368421052631579]
1857,400588421,1/17/15,Penn,NR,Villanova,5,4,9,[0.3076923076923077],17,1,[0.9444444444444444]
1859,400588422,1/18/15,DePaul,NR,St John's,NR,10,9,[0.5263157894736842],12,5,[0.7058823529411765]
1860,400588423,1/19/15,Georgetown,NR,Villanova,4,13,5,[0.7222222222222222],17,2,[0.8947368421052632]
1861,400588424,1/21/15,St John's,NR,Marquette,NR,13,5,[0.7222222222222222],10,8,[0.5555555555555556]
1862,400588425,1/21/15,Butler,NR,Creighton,NR,14,6,[0.7],9,11,[0.45]
1863,400588426,1/22/15,Seton Hall,24,DePaul,NR,13,5,[0.7222222222222222],11,9,[0.55]
1864,400588427,1/22/15,Providence,NR,Xavier,NR,15,5,[0.75],12,7,[0.631578947368421]
1865,400588428,1/24/15,Xavier,NR,DePaul,NR,13,7,[0.65],11,10,[0.5238095238095238]
1866,400588429,1/24/15,Marquette,NR,Georgetown,NR,10,9,[0.5263157894736842],14,5,[0.7368421052631579]
1868,400588431,1/25/15,Villanova,4,Creighton,NR,18,2,[0.9],9,12,[0.42857142857142855]
1869,400588432,1/27/15,Georgetown,21,Xavier,NR,14,6,[0.7],14,7,[0.6666666666666666]
1870,400588434,1/28/15,Marquette,NR,Seton Hall,NR,10,10,[0.5],14,6,[0.7]
1872,400588436,1/31/15,St John's,NR,Providence,NR,14,7,[0.6666666666666666],16,6,[0.7272727272727273]
1873,400588437,1/31/15,Seton Hall,NR,Xavier,NR,15,6,[0.7142857142857143],14,8,[0.6363636363636364]
1876,400588438,1/31/15,Marquette,NR,Butler,25,10,11,[0.47619047619047616],16,6,[0.7272727272727273]
1874,400588439,1/31/15,DePaul,NR,Villanova,7,11,12,[0.4782608695652174],19,2,[0.9047619047619048]
1875,400588440,1/31/15,Creighton,NR,Georgetown,21,10,13,[0.43478260869565216],15,6,[0.7142857142857143]
1877,400588441,2/3/15,Butler,22,St John's,NR,17,6,[0.7391304347826086],14,8,[0.6363636363636364]
1878,400588442,2/3/15,DePaul,NR,Seton Hall,NR,12,12,[0.5],15,7,[0.6818181818181818]
1879,400588443,2/4/15,Villanova,7,Marquette,NR,20,2,[0.9090909090909091],10,12,[0.45454545454545453]
1881,400588444,2/4/15,Xavier,NR,Creighton,NR,14,9,[0.6086956521739131],11,13,[0.4583333333333333]
1880,400588445,2/4/15,Georgetown,24,Providence,NR,15,7,[0.6818181818181818],17,6,[0.7391304347826086]
1882,400588446,2/7/15,St John's,NR,Creighton,NR,15,8,[0.6521739130434783],11,14,[0.44]
1883,400588447,2/7/15,Seton Hall,NR,Marquette,NR,15,8,[0.6521739130434783],11,12,[0.4782608695652174]
1884,400588448,2/7/15,Xavier,NR,Providence,NR,15,9,[0.625],17,7,[0.7083333333333334]
1885,400588449,2/7/15,Villanova,7,Georgetown,24,21,2,[0.9130434782608695],15,8,[0.6521739130434783]
1886,400588450,2/7/15,Butler,22,DePaul,NR,18,6,[0.75],12,13,[0.48]
1887,400588451,2/10/15,Seton Hall,NR,Georgetown,NR,15,9,[0.625],16,8,[0.6666666666666666]
1888,400588452,2/10/15,Marquette,NR,Xavier,NR,11,13,[0.4583333333333333],16,9,[0.64]
1889,400588453,2/11/15,Providence,NR,Villanova,6,17,8,[0.68],22,2,[0.9166666666666666]
1890,400588454,2/11/15,St John's,NR,DePaul,NR,16,8,[0.6666666666666666],12,14,[0.46153846153846156]
1892,400588455,2/14/15,Creighton,NR,Marquette,NR,12,14,[0.46153846153846156],11,14,[0.44]
1891,400588456,2/14/15,Xavier,NR,St John's,NR,16,10,[0.6153846153846154],17,8,[0.68]
1893,400588457,2/14/15,Providence,NR,Seton Hall,NR,18,8,[0.6923076923076923],15,10,[0.6]
1894,400588458,2/14/15,Butler,18,Villanova,6,18,7,[0.72],23,2,[0.92]
1895,400588459,2/16/15,Villanova,6,Seton Hall,NR,24,2,[0.9230769230769231],15,11,[0.5769230769230769]
1896,400588460,2/16/15,Creighton,NR,Butler,19,12,15,[0.4444444444444444],19,7,[0.7307692307692307]
1897,400588461,2/17/15,Georgetown,NR,St John's,NR,17,8,[0.68],17,9,[0.6538461538461539]
1899,400588462,2/18/15,DePaul,NR,Providence,NR,12,15,[0.4444444444444444],19,8,[0.7037037037037037]
1901,400588463,2/21/15,Xavier,NR,Butler,19,18,10,[0.6428571428571429],19,8,[0.7037037037037037]
1902,400588464,2/21/15,Marquette,NR,Villanova,6,11,15,[0.4230769230769231],25,2,[0.9259259259259259]
1900,400588465,2/21/15,St John's,NR,Seton Hall,NR,18,9,[0.6666666666666666],15,12,[0.5555555555555556]
1903,400588466,2/21/15,Georgetown,NR,DePaul,NR,18,8,[0.6923076923076923],12,16,[0.42857142857142855]
1904,400588468,2/24/15,Villanova,6,Providence,25,26,2,[0.9285714285714286],19,9,[0.6785714285714286]
1905,400588469,2/24/15,DePaul,NR,Creighton,NR,12,17,[0.41379310344827586],13,15,[0.4642857142857143]
1906,400588470,2/25/15,Butler,23,Marquette,NR,20,8,[0.7142857142857143],11,16,[0.4074074074074074]
1907,400588471,2/28/15,St John's,NR,Georgetown,NR,20,9,[0.6896551724137931],18,9,[0.6666666666666666]
1909,400588472,2/28/15,DePaul,NR,Butler,23,12,18,[0.4],21,8,[0.7241379310344828]
1908,400588473,2/28/15,Xavier,NR,Villanova,6,18,12,[0.6],27,2,[0.9310344827586207]
1910,400588474,2/28/15,Seton Hall,NR,Creighton,NR,16,12,[0.5714285714285714],13,16,[0.4482758620689655]
1911,400588475,3/1/15,Providence,25,Marquette,NR,20,9,[0.6896551724137931],11,17,[0.39285714285714285]
1912,400588476,3/3/15,Butler,21,Georgetown,NR,21,9,[0.7],19,9,[0.6785714285714286]
1913,400588477,3/3/15,Creighton,NR,Villanova,4,13,17,[0.43333333333333335],28,2,[0.9333333333333333]
1914,400588478,3/4/15,Seton Hall,NR,Providence,24,16,13,[0.5517241379310345],21,9,[0.7]
1915,400588479,3/4/15,Marquette,NR,St John's,NR,11,18,[0.3793103448275862],21,9,[0.7]
1916,400588480,3/7/15,Providence,24,Butler,21,21,10,[0.6774193548387096],22,9,[0.7096774193548387]
1917,400588482,3/7/15,Villanova,4,St John's,NR,29,2,[0.9354838709677419],21,10,[0.6774193548387096]
1918,400588483,3/7/15,Marquette,NR,DePaul,NR,12,18,[0.4],12,19,[0.3870967741935484]
1722,400588485,11/14/14,St John's,NR,NJIT,NR,1,0,[1.0],0,1,[0.0]
691,400588631,11/14/14,South Carolina,NR,North Florida,NR,1,0,[1.0],0,1,[0.0]
402,400588633,11/14/14,Wisconsin,3,N Kentucky,NR,1,0,[1.0],0,1,[0.0]
2,400588634,11/14/14,Syracuse,23,Kennesaw St,NR,1,0,[1.0],0,1,[0.0]
408,400588638,11/16/14,Nebraska,21,N Kentucky,NR,1,0,[1.0],0,2,[0.0]
1271,400588639,11/16/14,Cal,NR,Kennesaw St,NR,2,0,[1.0],0,2,[0.0]
718,400588648,11/20/14,Vanderbilt,NR,Lipscomb,NR,2,0,[1.0],1,2,[0.3333333333333333]
430,400588649,11/20/14,Northwestern,NR,North Florida,NR,3,0,[1.0],1,2,[0.3333333333333333]
1321,400588666,11/30/14,Colorado,NR,Lipscomb,NR,4,1,[0.8],2,4,[0.3333333333333333]
493,400588677,12/6/14,Purdue,NR,North Florida,NR,6,2,[0.75],6,3,[0.6666666666666666]
1068,400588678,12/6/14,Davidson,NR,Stetson,NR,6,1,[0.8571428571428571],3,7,[0.3]
1071,400588680,12/7/14,UMass,NR,FGCU,NR,5,4,[0.5555555555555556],8,1,[0.8888888888888888]
515,400588682,12/13/14,Maryland,19,USC Upstate,NR,10,1,[0.9090909090909091],8,3,[0.7272727272727273]
803,400588683,12/14/14,Florida,NR,Jacksonville,NR,6,4,[0.6],2,9,[0.18181818181818182]
817,400588697,12/20/14,Miss St,NR,USC Upstate,NR,5,5,[0.5],9,4,[0.6923076923076923]
547,400588700,12/22/14,Iowa,NR,North Florida,NR,9,4,[0.6923076923076923],7,6,[0.5384615384615384]
830,400588702,12/23/14,Miss St,NR,Jacksonville,NR,6,5,[0.5454545454545454],4,10,[0.2857142857142857]
557,400588705,12/27/14,Northwestern,NR,N Kentucky,NR,9,4,[0.6923076923076923],6,7,[0.46153846153846156]
560,400588706,12/27/14,Illinois,NR,Kennesaw St,NR,10,3,[0.7692307692307693],4,10,[0.2857142857142857]
847,400588716,1/2/15,Alabama,NR,North Florida,NR,10,3,[0.7692307692307693],7,9,[0.4375]
855,400588717,1/3/15,Missouri,NR,Lipscomb,NR,6,7,[0.46153846153846156],5,9,[0.35714285714285715]
396,400589072,11/14/14,Purdue,NR,Samford,NR,1,0,[1.0],0,1,[0.0]
689,400589073,11/14/14,Miss St,NR,W Carolina,NR,1,0,[1.0],0,1,[0.0]
1266,400589074,11/14/14,Stanford,NR,Wofford,NR,1,0,[1.0],0,1,[0.0]
407,400589076,11/16/14,Wisconsin,3,Chattanooga,NR,2,0,[1.0],1,1,[0.5]
706,400589077,11/17/14,Alabama,NR,W Carolina,NR,2,0,[1.0],0,2,[0.0]
467,400589099,11/28/14,Indiana,NR,UNC Greensboro,NR,5,1,[0.8333333333333334],1,5,[0.16666666666666666]
472,400589103,11/30/14,Maryland,NR,VMI,NR,7,0,[1.0],2,4,[0.3333333333333333]
766,400589108,12/2/14,Chattanooga,NR,Georgia,NR,3,5,[0.375],4,3,[0.5714285714285714]
487,400589115,12/5/14,Minnesota,NR,W Carolina,NR,6,2,[0.75],3,6,[0.3333333333333333]
805,400589128,12/16/14,Vanderbilt,NR,W Carolina,NR,7,2,[0.7777777777777778],3,7,[0.3]
544,400589138,12/22/14,Michigan State,NR,The Citadel,NR,9,4,[0.6923076923076923],4,7,[0.36363636363636365]
1111,400589139,12/22/14,VCU,NR,East Tenn St,NR,9,3,[0.75],6,3,[0.6666666666666666]
548,400589140,12/22/14,Minnesota,NR,Furman,NR,10,2,[0.8333333333333334],2,8,[0.2]
825,400589141,12/22/14,Tennessee,NR,Mercer,NR,6,4,[0.6],6,6,[0.5]
833,400589142,12/27/14,Georgia,NR,Mercer,NR,7,3,[0.7],6,7,[0.46153846153846156]
844,400589149,12/31/14,Tennessee,NR,East Tenn St,NR,8,4,[0.6666666666666666],6,4,[0.6]
692,400589239,11/14/14,Ole Miss,NR,Charleston So,NR,0,1,[0.0],1,0,[1.0]
986,400589240,11/14/14,Richmond,NR,Radford,NR,1,0,[1.0],0,1,[0.0]
698,400589246,11/15/14,LSU,NR,Gardner-Webb,NR,1,0,[1.0],0,1,[0.0]
1272,400589249,11/16/14,UCLA,NR,Coast Carolina,NR,2,0,[1.0],1,1,[0.5]
1002,400589254,11/18/14,Davidson,NR,Campbell,NR,2,0,[1.0],1,1,[0.5]
37,400589263,11/21/14,Gardner-Webb,NR,Clemson,NR,2,1,[0.6666666666666666],1,2,[0.3333333333333333]
1033,400589273,11/26/14,G Washington,NR,Longwood,NR,3,1,[0.75],2,4,[0.3333333333333333]
746,400589274,11/26/14,South Carolina,NR,UNC Asheville,NR,3,3,[0.5],2,3,[0.4]
455,400589276,11/26/14,OSU,16,Campbell,NR,4,0,[1.0],1,3,[0.25]
468,400589279,11/29/14,Iowa,NR,Longwood,NR,5,2,[0.7142857142857143],2,5,[0.2857142857142857]
1327,400589285,12/2/14,Arizona,3,Gardner-Webb,NR,7,0,[1.0],3,4,[0.42857142857142855]
777,400589291,12/5/14,Auburn,NR,Coast Carolina,NR,3,4,[0.42857142857142855],6,2,[0.75]
492,400589294,12/6/14,Maryland,21,Winthrop,NR,8,1,[0.8888888888888888],3,4,[0.42857142857142855]
507,400589301,12/10/14,OSU,12,High Point,NR,7,1,[0.875],6,3,[0.6666666666666666]
808,400589316,12/17/14,Auburn,NR,Winthrop,NR,4,5,[0.4444444444444444],4,5,[0.4444444444444444]
809,400589317,12/18/14,Ole Miss,NR,Coast Carolina,NR,7,3,[0.7],8,3,[0.7272727272727273]
545,400589329,12/22/14,Purdue,NR,Gardner-Webb,NR,8,5,[0.6153846153846154],8,5,[0.6153846153846154]
1260,400589701,11/14/14,Arizona State,NR,Chicago State,NR,1,0,[1.0],0,1,[0.0]
693,400589702,11/14/14,Kentucky,1,Grand Canyon,NR,1,0,[1.0],0,1,[0.0]
695,400589703,11/14/14,Missouri,NR,UMKC,NR,0,1,[0.0],1,0,[1.0]
1292,400590732,11/21/14,Seattle,NR,Washington,NR,1,2,[0.3333333333333333],2,0,[1.0]
1307,400590740,11/26/14,Utah,NR,UT-Rio Grande,NR,3,1,[0.75],3,1,[0.75]
518,400590756,12/13/14,Indiana,NR,Grand Canyon,NR,8,2,[0.8],4,6,[0.4]
1097,400590763,12/17/14,Saint Louis,NR,UT-Rio Grande,NR,7,4,[0.6363636363636364],5,5,[0.5]
530,400590766,12/19/14,Minnesota,NR,Seattle,NR,9,2,[0.8181818181818182],5,6,[0.45454545454545453]
1396,400590775,12/28/14,Cal,NR,CSU Bakersfield,NR,10,3,[0.7692307692307693],3,10,[0.23076923076923078]
1127,400590778,12/30/14,Duquesne,NR,UT-Rio Grande,NR,5,6,[0.45454545454545453],5,8,[0.38461538461538464]
717,400591009,11/20/14,Ole Miss,NR,Southern,NR,2,1,[0.6666666666666666],1,2,[0.3333333333333333]
510,400591013,12/10/14,Minnesota,NR,Southern,NR,8,2,[0.8],2,7,[0.2222222222222222]
1613,400591016,12/22/14,Baylor,22,Southern,NR,10,1,[0.9090909090909091],3,10,[0.23076923076923078]
1261,400591060,11/14/14,Cal,NR,Alcorn State,NR,1,0,[1.0],0,1,[0.0]
505,400591064,12/9/14,Iowa,NR,Alcorn State,NR,8,2,[0.8],1,6,[0.14285714285714285]
982,400591080,11/14/14,G Washington,NR,Grambling St,NR,1,0,[1.0],0,1,[0.0]
983,400591081,11/14/14,Dayton,NR,Alabama A&M,NR,1,0,[1.0],0,1,[0.0]
688,400591082,11/14/14,VCU,15,Tennessee,NR,1,0,[1.0],0,1,[0.0]
987,400591083,11/14/14,George Mason,NR,Cornell,NR,0,1,[0.0],1,0,[1.0]
984,400591084,11/14/14,URI,NR,Pace,NR,1,0,[1.0], ,,[0.0]
985,400591085,11/14/14,Saint Joe's,NR,Fair Dickinson,NR,0,1,[0.0],1,0,[1.0]
988,400591086,11/14/14,Fordham,NR,NYIT,NR,1,0,[1.0], ,,[0.0]
989,400591087,11/15/14,Davidson,NR,Catholic Univ.,NR,1,0,[1.0], ,,[0.0]
990,400591088,11/15/14,Duquesne,NR,Bluefield St,NR,1,0,[1.0], ,,[0.0]
992,400591089,11/15/14,St Bonaventure,NR,Dartmouth,NR,1,0,[1.0],0,1,[0.0]
412,400591090,11/16/14,Rutgers,NR,G Washington,NR,0,1,[0.0],2,0,[1.0]
994,400591091,11/16/14,George Mason,NR,Princeton,NR,1,1,[0.5],1,1,[0.5]
995,400591092,11/16/14,URI,NR,UMass Lowell,NR,2,0,[1.0],0,2,[0.0]
410,400591093,11/16/14,Penn State,NR,Fordham,NR,2,0,[1.0],1,1,[0.5]
999,400591094,11/17/14,Drexel,NR,Saint Joe's,NR,0,2,[0.0],1,1,[0.5]
1004,400591095,11/18/14,Old Dominion,NR,Richmond,NR,2,0,[1.0],1,1,[0.5]
714,400591096,11/20/14,Dayton,NR,Texas A&M,NR,2,0,[1.0],1,1,[0.5]
1008,400591097,11/20/14,VCU,15,MD-E Shore,NR,3,0,[1.0],1,3,[0.25]
428,400591098,11/20/14,Maryland,NR,Fordham,NR,3,0,[1.0],1,2,[0.3333333333333333]
1018,400591099,11/22/14,Abil Christian,NR,Duquesne,NR,1,2,[0.3333333333333333],2,0,[1.0]
437,400591101,11/22/14,URI,NR,Nebraska,21,3,0,[1.0],2,1,[0.6666666666666666]
1022,400591102,11/23/14,Saint Louis,NR,Texas A&M-CC,NR,2,1,[0.6666666666666666],2,1,[0.6666666666666666]
1024,400591103,11/23/14,Fordham,NR,UMass Lowell,NR,1,3,[0.25],3,2,[0.6]
1029,400591104,11/25/14,Saint Louis,NR,NC A&T,NR,3,1,[0.75],1,4,[0.2]
1026,400591105,11/25/14,Saint Joe's,NR,LIU Brooklyn,NR,3,2,[0.6],0,2,[0.0]
1027,400591106,11/25/14,La Salle,NR,St Francis (BKN),NR,4,0,[1.0],0,4,[0.0]
1030,400591107,11/26/14,UMass,NR,Northeastern,NR,5,1,[0.8333333333333334],4,1,[0.8]
757,400591109,11/28/14,Saint Louis,NR,Miss St,NR,3,2,[0.6],5,0,[1.0]
1038,400591110,11/29/14,Old Dominion,NR,VCU,14,5,1,[0.8333333333333334],4,2,[0.6666666666666666]
1040,400591111,11/29/14,Dayton,NR,UIC,NR,4,1,[0.8],2,5,[0.2857142857142857]
1041,400591112,11/29/14,Duquesne,NR,NJIT,NR,2,1,[0.6666666666666666],2,4,[0.3333333333333333]
1042,400591113,11/29/14,Davidson,NR,UNC-Wilmington,NR,4,1,[0.8],2,2,[0.5]
1043,400591114,11/29/14,Harvard,NR,UMass,NR,4,1,[0.8],5,2,[0.7142857142857143]
1046,400591115,11/29/14,Fordham,NR,MD-E Shore,NR,1,4,[0.2],2,6,[0.25]
1053,400591116,12/2/14,Saint Louis,NR,Rockhurst,NR,5,2,[0.7142857142857143], ,,[0.0]
767,400591117,12/2/14,LSU,NR,UMass,NR,5,2,[0.7142857142857143],5,3,[0.625]
1051,400591118,12/2/14,Duquesne,NR,Howard,NR,3,1,[0.75],4,4,[0.5]
1059,400591119,12/3/14,George Mason,NR,Old Dominion,NR,2,5,[0.2857142857142857],6,1,[0.8571428571428571]
1057,400591120,12/3/14,Richmond,NR,William & Mary,NR,3,3,[0.5],5,2,[0.7142857142857143]
1058,400591121,12/3/14,Davidson,NR,Charlotte,NR,5,1,[0.8333333333333334],4,3,[0.5714285714285714]
1061,400591122,12/4/14,G Washington,NR,UMBC,NR,4,2,[0.6666666666666666],0,7,[0.0]
1070,400591123,12/6/14,Southern Miss,NR,URI,NR,4,3,[0.5714285714285714],5,2,[0.7142857142857143]
1072,400591125,12/7/14,JMU,NR,Richmond,NR,6,2,[0.75],3,4,[0.42857142857142855]
513,400591126,12/10/14,Penn State,NR,Duquesne,NR,9,1,[0.9],3,3,[0.5]
1090,400591127,12/13/14,Saint Louis,NR,SIU-ED,NR,6,4,[0.6],1,6,[0.14285714285714285]
1081,400591128,12/13/14,Drexel,NR,La Salle,NR,2,6,[0.25],5,4,[0.5555555555555556]
794,400591129,12/13/14,Arkansas,NR,Dayton,NR,7,2,[0.7777777777777778],7,2,[0.7777777777777778]
1084,400591130,12/13/14,URI,NR,Delaware State,NR,6,3,[0.6666666666666666],4,6,[0.4]
1086,400591131,12/13/14,Robert Morris,NR,Duquesne,NR,3,6,[0.3333333333333333],3,4,[0.42857142857142855]
1087,400591132,12/13/14,Richmond,NR,Howard,NR,4,4,[0.5],5,6,[0.45454545454545453]
523,400591133,12/14/14,Penn State,NR,G Washington,NR,10,1,[0.9090909090909091],6,3,[0.6666666666666666]
1094,400591134,12/16/14,VCU,NR,Belmont,NR,7,3,[0.7],7,4,[0.6363636363636364]
1095,400591135,12/17/14,Duquesne,NR,St Francis (PA),NR,3,5,[0.375],5,4,[0.5555555555555556]
1098,400591136,12/18/14,Richmond,NR,South Alabama,NR,5,4,[0.5555555555555556],2,6,[0.25]
1102,400591137,12/20/14,Charleston,NR,Davidson,NR,5,6,[0.45454545454545453],9,1,[0.9]
1107,400591138,12/20/14,Towson,NR,La Salle,NR,7,4,[0.6363636363636364],6,5,[0.5454545454545454]
1101,400591139,12/20/14,Duquesne,NR,UMass Lowell,NR,4,5,[0.4444444444444444],6,5,[0.5454545454545454]
1103,400591141,12/20/14,URI,NR,Detroit,NR,7,3,[0.7],6,6,[0.5]
1108,400591142,12/21/14,Saint Louis,NR,UVM,NR,8,4,[0.6666666666666666],5,6,[0.45454545454545453]
1112,400591143,12/22/14,St Bonaventure,NR,MD-E Shore,NR,7,3,[0.7],6,8,[0.42857142857142855]
1115,400591144,12/23/14,Hofstra,NR,La Salle,NR,7,4,[0.6363636363636364],7,5,[0.5833333333333334]
1117,400591145,12/23/14,Wright State,NR,George Mason,NR,8,5,[0.6153846153846154],5,6,[0.45454545454545453]
1120,400591146,12/28/14,Duquesne,NR,MD-E Shore,NR,4,6,[0.4],7,8,[0.4666666666666667]
1122,400591147,12/28/14,Fordham,NR,Howard,NR,4,6,[0.4],7,8,[0.4666666666666667]
1123,400591148,12/29/14,VCU,NR,Cleveland State,NR,10,3,[0.7692307692307693],6,8,[0.42857142857142855]
1128,400591149,12/30/14,G Washington,NR,VMI,NR,10,3,[0.7692307692307693],5,8,[0.38461538461538464]
1129,400591150,12/30/14,Delaware,NR,St Bonaventure,NR,1,10,[0.09090909090909091],7,4,[0.6363636363636364]
1130,400591151,12/30/14,La Salle,NR,Penn,NR,8,5,[0.6153846153846154],3,7,[0.3]
840,400591152,12/30/14,Dayton,NR,Ole Miss,NR,10,2,[0.8333333333333334],8,4,[0.6666666666666666]
845,400591153,12/31/14,Saint Louis,NR,Vanderbilt,NR,8,5,[0.6153846153846154],9,3,[0.75]
1132,400591154,12/31/14,Fordham,NR,S Carolina St,NR,5,6,[0.45454545454545453],4,11,[0.26666666666666666]
1134,400591155,12/31/14,URI,NR,Brown,NR,8,3,[0.7272727272727273],7,7,[0.5]
1135,400591156,12/31/14,Richmond,NR,Northeastern,NR,7,6,[0.5384615384615384],8,4,[0.6666666666666666]
1137,400591157,1/3/15,Dayton,NR,Duquesne,NR,11,2,[0.8461538461538461],5,7,[0.4166666666666667]
1141,400591158,1/3/15,Davidson,NR,Richmond,NR,10,2,[0.8333333333333334],7,7,[0.5]
1143,400591159,1/4/15,Fordham,NR,VCU,NR,5,7,[0.4166666666666667],11,3,[0.7857142857142857]
1145,400591160,1/7/15,VCU,20,Davidson,NR,12,3,[0.8],10,3,[0.7692307692307693]
1146,400591161,1/7/15,URI,NR,Fordham,NR,10,3,[0.7692307692307693],5,8,[0.38461538461538464]
1147,400591162,1/7/15,Duquesne,NR,Saint Joe's,NR,6,7,[0.46153846153846156],6,7,[0.46153846153846156]
1149,400591163,1/8/15,St Bonaventure,NR,Dayton,NR,8,5,[0.6153846153846154],12,2,[0.8571428571428571]
1151,400591164,1/10/15,Duquesne,NR,URI,NR,6,8,[0.42857142857142855],11,3,[0.7857142857142857]
1153,400591165,1/10/15,Fordham,NR,Dayton,NR,5,9,[0.35714285714285715],13,2,[0.8666666666666667]
1154,400591166,1/10/15,Davidson,NR,Saint Louis,NR,11,3,[0.7857142857142857],8,8,[0.5]
1161,400591168,1/14/15,Saint Louis,NR,Duquesne,NR,9,8,[0.5294117647058824],6,9,[0.4]
1158,400591169,1/14/15,Dayton,NR,La Salle,NR,14,2,[0.875],9,8,[0.5294117647058824]
